id_categoria;nome_categoria;appid 
26020;Single-player;998470
26021;Single-player;998480
26022;Single-player;998490
26023;"Single-player;Steam Achievements;Full controller support";998570
26024;"Single-player;Steam Achievements;Full controller support";998630
26025;Single-player;998640
26026;Single-player;998660
26027;Single-player;998690
26028;Single-player;998730
26029;"Single-player;Steam Achievements;Full controller support";998790
26030;"Single-player;In-App Purchases";998820
26031;"Single-player;Steam Achievements;Captions available;Steam Cloud";998850
26032;"Single-player;Steam Achievements";998890
26033;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";998930
26034;"Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards";998990
26035;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";999030
26036;"Single-player;Steam Achievements";999040
26037;"Single-player;Steam Achievements";999170
26038;"Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards";999200
26039;"Single-player;Steam Achievements";999250
26040;Single-player;999310
26041;Single-player;999350
26042;Single-player;999360
26043;"Single-player;Steam Achievements;Full controller support";999410
26044;Single-player;999540
26045;"Single-player;Partial Controller Support";999560
26046;Single-player;999640
26047;"Single-player;Online Multi-Player;Steam Achievements";999750
26048;Single-player;999760
26049;Single-player;999830
26050;"Single-player;Partial Controller Support;Steam Cloud";999930
26051;"Single-player;Multi-player;Steam Achievements;Full controller support";1000080
26052;"Single-player;Steam Achievements;Steam Cloud";1000100
26053;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op";1000110
26054;Single-player;1000130
26055;Single-player;1000370
26056;"Single-player;Steam Achievements";1000380
26057;Single-player;1000480
26058;"Online Multi-Player;Steam Achievements;Stats";1000540
26059;Single-player;1000600
26060;"Single-player;Steam Achievements";1000790
26061;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op";1000810
26062;"Single-player;Stats";1000830
26063;"Multi-player;Online Multi-Player;Full controller support";1000860
26064;Single-player;1000870
26065;"Single-player;Partial Controller Support";1000880
26066;"Single-player;Full controller support";1000980
26067;Single-player;1000990
26068;"Single-player;Steam Achievements;Full controller support;Steam Cloud";1001070
26069;Single-player;1001140
26070;"Single-player;Steam Achievements";1001200
26071;Single-player;1001240
26072;Single-player;1001390
26073;Single-player;1001430
26074;Single-player;1001450
26075;"Single-player;Steam Achievements;Steam Cloud";1001490
26076;"Single-player;Steam Achievements;Steam Cloud";1001500
26077;Single-player;1001550
26078;Single-player;1001570
26079;"Single-player;Steam Achievements;Partial Controller Support";1001640
26080;"Single-player;Full controller support";1001660
26081;"Single-player;Steam Achievements";1001760
26082;Single-player;1001860
26083;"Single-player;Steam Achievements";1001880
26084;"Single-player;Partial Controller Support";1001910
26085;"Single-player;Local Multi-Player;Steam Achievements;Steam Cloud";1001980
26086;"Single-player;Steam Achievements";1002020
26087;"Single-player;Steam Achievements;Partial Controller Support";1002100
26088;"Multi-player;Online Multi-Player";1002180
26089;"Single-player;Steam Achievements;Partial Controller Support";1002200
26090;"Single-player;Steam Achievements;Steam Cloud";1002210
26091;"Single-player;Online Multi-Player;In-App Purchases";1002230
26092;"Single-player;Steam Achievements";1002270
26093;Single-player;1002280
26094;Single-player;1002290
26095;Single-player;1002310
26096;"Single-player;Steam Achievements;Full controller support";1002360
26097;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";1002420
26098;"Single-player;Steam Achievements;Steam Leaderboards";1002490
26099;"Single-player;Steam Cloud";1002510
26100;Single-player;1002520
26101;"Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards";1002540
26102;"Single-player;Steam Achievements;Steam Cloud";1002560
26103;Single-player;1002600
26104;"Single-player;Steam Achievements";1002630
26105;"Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Includes level editor";1002650
26106;"Single-player;Steam Achievements";1002660
26107;Single-player;1002670
26108;"Single-player;Steam Achievements;Full controller support";1002690
26109;Single-player;1002750
26110;"Single-player;Steam Achievements;Full controller support";1002800
26111;"Single-player;Partial Controller Support";1002830
26112;"Single-player;Online Multi-Player;In-App Purchases";1002850
26113;Single-player;1002860
26114;"Multi-player;Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer";1002890
26115;Single-player;1002920
26116;"Multi-player;Online Multi-Player;MMO;Co-op;In-App Purchases";1002930
26117;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";1002950
26118;Single-player;1002960
26119;"Single-player;Full controller support";1002970
26120;Single-player;1002980
26121;"Single-player;Steam Achievements;Partial Controller Support";1003020
26122;Single-player;1003070
26123;"Single-player;Steam Achievements;Steam Cloud;Stats;Includes level editor";1003230
26124;"Single-player;Steam Achievements";1003320
26125;Single-player;1003360
